Technique,Description,Ranking,Role,Paper,Summary,Claude Reasoning,DOI URL,Consensus paper URL,Consensus search URL,ChatGPT Judgment,ChatGPT Critique,Claude Assessment of GPT,Claude Assessment Reasoning
Urge surfing,"Notice craving sensations as waves, breathe, and wait without acting until they crest and fall.",Moderate Evidence,Backup 1,"Demina et al., 2023, BMC Neuroscience","Meta-analysis of 17 RCTs (N=1228) found mindfulness interventions reduced craving (SMD -0.70), but high heterogeneity (I2=92%) and low GRADE quality.","Urge surfing is a core mindfulness craving skill; this broader meta-analysis shows a promising effect undercut by heterogeneity and bias, fitting Moderate.",https://doi.org/10.1186/s12868-023-00821-4,https://consensus.app/papers/details/966362d6ba6d545f94cc6ead9cfaddb5/?utm_source=claude_code,https://consensus.app/search/new?q=urge+surfing+mindfulness+craving+acceptance+intervention+substance+use&utm_source=claude_code&mode=quick,Mostly agree,"This is broader mindfulness/craving evidence, not urge surfing specifically, and the paper notes very high heterogeneity and low GRADE quality. It should be treated as indirect support.",Partially agree,"True that this is broader mindfulness/craving evidence with high heterogeneity and low GRADE, but urge surfing is a core craving skill within these protocols, so corroborating the mechanism is the backup's job and doesn't weaken the row."
Urge surfing,"Notice craving sensations as waves, breathe, and wait without acting until they crest and fall.",Moderate Evidence,Backup 2,"Witkiewitz et al., 2012, Addictive Behaviors","Secondary analysis of an MBRP RCT; acceptance, awareness, and nonjudgment mediated lower post-treatment craving vs treatment-as-usual.","Shows the acceptance-based mechanism behind urge surfing reduces craving, but as a mediation/secondary analysis it offers supportive, not definitive, Moderate evidence.",https://doi.org/10.1016/j.addbeh.2012.02.001,https://consensus.app/papers/details/7e196144f19b515396e5db556f8bb177/?utm_source=claude_code,https://consensus.app/search/new?q=urge+surfing+mindfulness+craving+acceptance+intervention+substance+use&utm_source=claude_code&mode=quick,Mostly agree,"Mechanism/mediation evidence is helpful, but it is secondary analysis rather than direct experimental evidence for teaching urge surfing.",Partially agree,"I agree it's secondary mediation analysis, not direct experimental evidence for teaching urge surfing. But establishing the acceptance-based mechanism is exactly what a backup should do, and my reasoning already labeled it supportive, not definitive."
Identity-based habits,Treat each small behavior as evidence for the identity you want to strengthen.,Moderate Evidence,Primary,"Rhodes et al., 2024, Health Psychology Review","Meta-analysis of 40 effect sizes (N=4939). Interventions changed physical-activity identity (g=0.18) and related behavior change (g=0.61), with possible publication bias.","This meta-analysis shows identity is malleable and linked to behavior change, but small identity effects and bias signals support a Moderate ranking.",https://doi.org/10.1080/17437199.2024.2412996,https://consensus.app/papers/details/5bdc237ead11502487337865b13fadd8/?utm_source=claude_code,https://consensus.app/search/new?q=self-identity+predicts+health+behavior+change+exercise+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"The meta-analysis supports identity as a modifiable physical-activity construct, but identity change was small and publication bias is possible. It is adjacent to identity-based habits, not a full test of that self-help strategy.",Agree,"ChatGPT is right that identity change was small with possible publication bias, and this is adjacent to identity-based habits rather than a full test of the self-help strategy. My reasoning already noted the small effects and bias signal."
Identity-based habits,Treat each small behavior as evidence for the identity you want to strengthen.,Moderate Evidence,Backup 1,"Zhu et al., 2025, Applied Psychology: Health and Well-Being","Three-level meta-analysis of 19 studies (N=13,340) found a large positive correlation between habit and identity in health behaviors (r=0.55).","Confirms a strong habit-identity link supporting the technique's logic, but correlational (mostly cross-sectional) design keeps causal support Moderate.",https://doi.org/10.1111/aphw.12626,https://consensus.app/papers/details/115344e25b6c50fe95dff6695b9ce884/?utm_source=claude_code,https://consensus.app/search/new?q=self-identity+predicts+health+behavior+change+exercise+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"Relevant evidence for identity-based behavior change, but the technique likely includes self-concept framing and repeated habit cues that this paper may not isolate. Treat as supportive, not decisive.",Partially agree,"I agree it's correlational and may not isolate the full technique's self-concept framing and habit cues. But a strong habit-identity link (r=0.55) corroborates the underlying logic, which is the backup's role; my reasoning already flagged the cross-sectional design."
Identity-based habits,Treat each small behavior as evidence for the identity you want to strengthen.,Moderate Evidence,Backup 2,"de Hoog et al., 2024, Social Science & Medicine","Meta-analysis of 115 articles (248 effect sizes, N=112,112) found a small but positive association between social identity and health-related behavior.","Broadens the identity-behavior link beyond personal to social identity with a small positive effect, supporting the principle at a Moderate level.",https://doi.org/10.1016/j.socscimed.2024.116744,https://consensus.app/papers/details/2eb76b920064558cbafe55f3eb62c043/?utm_source=claude_code,https://consensus.app/search/new?q=self-identity+predicts+health+behavior+change+exercise+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"Good population/identity-related evidence, but it is not a direct intervention test of “identity-based habits.” It supports theory more than standalone self-help efficacy.",Partially agree,"True that this social-identity meta-analysis isn't a direct intervention test and supports theory more than standalone efficacy. As a backup it usefully broadens the identity-behavior link, fitting the Moderate principle-level rating."
Keystone habit,Pick one habit likely to improve other behaviors or make other habits easier and work on developing that habit first.,Moderate Evidence,Primary,"Oaten & Cheng, 2006, British Journal of Health Psychology","Controlled study: a 2-month exercise program improved self-regulation and spilled over to less smoking, alcohol, caffeine and better diet, spending, and study habits.","Directly demonstrates a single 'keystone' habit improving many unrelated behaviors, but the small, non-RCT design keeps it Moderate.",https://doi.org/10.1348/135910706X96481,https://consensus.app/papers/details/892c6cbe9241537c9c15d393854db623/?utm_source=claude_code,https://consensus.app/search/new?q=physical+exercise+as+keystone+behavior+reduces+smoking+alcohol+improves+self-regulation&utm_source=claude_code&mode=quick,Partially agree,"This exercise study is often cited for self-regulation spillover, but it is not a direct test of choosing a “keystone habit” to transform other habits. It supports the possibility of spillover, not the technique as commonly marketed.",Agree,"I agree this exercise study demonstrates self-regulation spillover but isn't a direct test of deliberately choosing a keystone habit to transform others. My reasoning already flagged the small non-RCT design; it supports the possibility, keeping it Moderate."
Keystone habit,Pick one habit likely to improve other behaviors or make other habits easier and work on developing that habit first.,Moderate Evidence,Backup 1,"Palmeira et al., 2025, Annals of Behavioral Medicine","Longitudinal study (N=678) over 12 months found a reciprocal motivational spillover between exercise and eating, though effects on actual steps/intake were small.","Supports cross-domain spillover central to keystone habits, but mainly at the motivational level with weak behavioral transfer, fitting Moderate.",,https://consensus.app/papers/details/3bdb4669586d55e3b2ffef9b2e7a691d/?utm_source=claude_code,https://consensus.app/search/new?q=exercise+keystone+habit+spillover+positive+effects+on+diet+and+other+behaviors&utm_source=claude_code&mode=quick,Mostly agree,"If this is about behavior-spillover/keystone mechanisms, it is useful but likely still indirect. Without a DOI and direct intervention details in the row, I would not treat it as strong evidence for the keystone-habit claim.",Partially agree,"I agree the spillover here is mainly motivational with weak behavioral transfer, so it's indirect. But the missing-DOI point doesn't bear on validity, and corroborating cross-domain spillover is precisely this backup's job."
Keystone habit,Pick one habit likely to improve other behaviors or make other habits easier and work on developing that habit first.,Moderate Evidence,Backup 2,"Oh & Taylor, 2014, Health Psychology",Cross-over RCT (N=23 abstinent smokers): a single 15-min bout of exercise acutely reduced cravings and attentional bias for both cigarettes and snacks.,"Shows one habit (exercise) acutely dampening multiple cravings, an on-target spillover mechanism, though tiny-sample acute design supports only Moderate.",https://doi.org/10.1037/a0032423,https://consensus.app/papers/details/3c6f40efda6350a99dd9e4460c30f2ce/?utm_source=claude_code,https://consensus.app/search/new?q=physical+exercise+as+keystone+behavior+reduces+smoking+alcohol+improves+self-regulation&utm_source=claude_code&mode=quick,Mostly agree,"This supports cross-behavior spillover from one health behavior to others, but not the popular claim that any chosen keystone habit reliably cascades across life domains.",Agree,"I agree this tiny-sample acute study shows cross-behavior craving spillover, not the marketed claim that any chosen keystone habit reliably cascades across life domains. My reasoning already noted the acute, small-sample limits that fit Moderate."
Don't Break the Chain,Mark each day you complete the habit and try to preserve the streak.,Moderate Evidence,Primary,"Harkin et al., 2016, Psychological Bulletin","Meta-analysis of 138 studies (N=19,951). Progress monitoring promoted goal attainment (d+=0.40); effects were larger when records were physically recorded.","Marking each day is physical progress monitoring; this large meta-analysis shows it reliably aids goal attainment with a small-to-moderate effect, fitting Moderate.",https://doi.org/10.1037/bul0000025,https://consensus.app/papers/details/1b8034dd0ebf5370ba5b440c4ea66643/?utm_source=claude_code,https://consensus.app/search/new?q=self-monitoring+goal+progress+behavior+change+meta-analysis&utm_source=claude_code&mode=quick,Partially agree,"Monitoring progress is relevant, but “Don’t Break the Chain” is specifically a streak/continuity tactic. This meta-analysis supports monitoring goals, not the streak mechanism directly.",Agree,"I agree this is a construct-breadth point: the meta-analysis supports progress monitoring, not the streak/continuity mechanism specifically. My original_reasoning already framed it as physical monitoring, and the broader evidence still backs the technique, so Moderate holds."
Don't Break the Chain,Mark each day you complete the habit and try to preserve the streak.,Moderate Evidence,Backup 1,"Weathers et al., 2023, Journal of the Academy of Marketing Science","Survey, experimental, and field studies on activity streaks; commitment rose when streaks were framed as daily (vs cumulative) tasks and tied to identity.","Directly studies the streak mechanism behind 'don't break the chain,' supporting daily framing, but mixed marketing-context designs keep it Moderate.",https://doi.org/10.1007/s11747-023-00935-5,https://consensus.app/papers/details/9eceb1fe4d9357dfbedb327c50ad92aa/?utm_source=claude_code,https://consensus.app/search/new?q=streak+gamification+daily+habit+tracking+app+adherence+randomized&utm_source=claude_code&mode=quick,Mostly agree,"The paper is more directly about streaks, but streaks can motivate while also creating all-or-nothing failure effects. The reasoning should acknowledge possible downsides and context dependence.",Agree,"ChatGPT is right that streaks carry all-or-nothing downsides, and acknowledging context dependence makes the row more honest. This is the most direct streak evidence, so it still supports the technique at Moderate."
Don't Break the Chain,Mark each day you complete the habit and try to preserve the streak.,Moderate Evidence,Backup 2,"Compernolle et al., 2019, Int. Journal of Behavioral Nutrition and Physical Activity","Meta-analysis of 19 RCTs (N=2800): self-monitoring interventions reduced sedentary time (g=0.32), strongest with objective recording tools.","Reinforces that habitual self-recording drives behavior change with small effects, supporting the chain-tracking technique at a Moderate level.",https://doi.org/10.1186/s12966-019-0814-5,https://consensus.app/papers/details/c314f6e78ca750f1b38ddaef710d3468/?utm_source=claude_code,https://consensus.app/search/new?q=self-monitoring+goal+progress+behavior+change+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"Self-monitoring evidence is relevant backup, but it does not isolate streak framing or chain-maintenance as the active ingredient.",Partially agree,"True that self-monitoring evidence doesn't isolate streak framing, but as a backup its job is corroborating the recording mechanism, which the Primary and Backup 1 already tie to the chain. The caveat doesn't weaken the row."
Eat the Frog,Do the most aversive high-value task first in the workday.,Moderate Evidence,Primary,"Steel, 2007, Psychological Bulletin","Meta-analysis of 691 correlations identifying task aversiveness and task delay as strong, consistent predictors of procrastination.","Establishes that task aversiveness drives delay, the rationale for tackling the most aversive task first; correlational meta-analysis supports the principle at Moderate.",https://doi.org/10.1037/0033-2909.133.1.65,https://consensus.app/papers/details/8d0eb8c843235fb990f659845aa35204/?utm_source=claude_code,https://consensus.app/search/new?q=task+aversiveness+procrastination+most+difficult+task+first+productivity&utm_source=claude_code&mode=quick,Partially agree,"Steel’s procrastination meta-analysis explains why people avoid aversive tasks, but it does not test whether doing the hardest/most important task first is better than other sequencing strategies.",Agree,"I agree Steel establishes why aversive tasks get delayed but doesn't test hardest-first sequencing. My reasoning already cast it as principle/mechanism support, and the broader literature keeps it at Moderate."
Eat the Frog,Do the most aversive high-value task first in the workday.,Moderate Evidence,Backup 1,"Tong et al., 2024, Acta Psychologica Sinica","7-day longitudinal experiment (N=68); reducing task aversiveness via reappraisal raised task willingness and cut procrastination, mediated by lower aversiveness.","Experimentally links lowering task aversiveness to acting sooner, supporting the 'eat the frog' rationale, but small and indirect, fitting Moderate.",https://doi.org/10.3724/SP.J.1041.2024.00765,https://consensus.app/papers/details/70092defda03573ab666cd468d996084/?utm_source=claude_code,https://consensus.app/search/new?q=task+aversiveness+procrastination+most+difficult+task+first+productivity&utm_source=claude_code&mode=quick,Mostly agree,"Relevant to task-ordering/procrastination, but the link to “Eat the Frog” depends on the specific experimental design. Treat it as adjacent evidence unless the paper directly tests hardest-first sequencing.",Partially agree,"Fair that this is adjacent and doesn't directly test hardest-first sequencing, but as a backup it appropriately supplies the experimental mechanism link (lowering aversiveness speeds action) behind the prescription."
Eat the Frog,Do the most aversive high-value task first in the workday.,Moderate Evidence,Backup 2,"Blunt & Pychyl, 2000, Personality and Individual Differences","Study of 161 students found task aversiveness (boredom, frustration, resentment) positively related to procrastination across project stages.","Corroborates that aversive tasks get delayed, motivating doing them first, but as cross-sectional self-report it offers Moderate, mechanism-level support.",https://doi.org/10.1016/S0191-8869(99)00091-4,https://consensus.app/papers/details/49386c584e2e519a8eeda96335aab1eb/?utm_source=claude_code,https://consensus.app/search/new?q=task+aversiveness+procrastination+most+difficult+task+first+productivity&utm_source=claude_code&mode=quick,Mostly agree,"Task aversiveness evidence supports the rationale, but not the prescription that the aversive task should be done first. It is mechanism support, not technique efficacy evidence.",Partially agree,"I concede this is mechanism support, not technique-efficacy evidence, but that is exactly a backup's role here. My original_reasoning already labeled it cross-sectional mechanism-level support, so the row stands."
Dopamine fast,Take a planned break from compulsive high-reward behaviors and replace them with low-stimulation activities.,Moderate Evidence,Primary,"Pieh et al., 2025, BMC Medicine","RCT (N=111 students): reducing smartphone screen time to <=2h/day for 3 weeks improved depressive symptoms, stress, sleep, and well-being (small-to-medium effects).","An RCT directly testing a planned reduction in a compulsive high-reward behavior shows small-to-medium benefits that rebounded after, fitting a Moderate ranking.",https://doi.org/10.1186/s12916-025-03944-z,https://consensus.app/papers/details/abe113ca3ccf5a7e95c5aaea2d5db141/?utm_source=claude_code,https://consensus.app/search/new?q=smartphone+abstinence+reducing+screen+time+digital+detox+wellbeing+randomized+controlled+trial&utm_source=claude_code&mode=quick,Partially agree,"This supports reducing smartphone screen time, but it does not validate the “dopamine fast” concept or dopamine-based mechanism. The evidence should be reframed as digital-use reduction, not dopamine fasting.",Agree,"ChatGPT is right that this validates screen-time reduction, not a dopamine mechanism; the 'dopamine' label is a misnomer. The RCT still shows the planned-reduction behavior works, so Moderate is fair with reframing."
Dopamine fast,Take a planned break from compulsive high-reward behaviors and replace them with low-stimulation activities.,Moderate Evidence,Backup 1,"Brailovskaia et al., 2022, J. Experimental Psychology: Applied",Experiment (N=619): both 7-day smartphone abstinence and 1h/day reduction lowered depression/anxiety and raised life satisfaction; reduction effects were more durable.,"Compares a planned 'fast' to moderation, showing real but partly transient benefits and that full abstinence isn't superior, supporting a Moderate ranking.",https://doi.org/10.1037/xap0000430,https://consensus.app/papers/details/0523708364635e5681e24ad2ec9f3e3c/?utm_source=claude_code,https://consensus.app/search/new?q=smartphone+abstinence+reducing+screen+time+digital+detox+wellbeing+randomized+controlled+trial&utm_source=claude_code&mode=quick,Partially agree,"Social-media reduction/abstinence studies are relevant to digital detox, but they do not support the broader dopamine-fast theory or abstaining from many rewarding activities.",Agree,"I agree this supports digital-use reduction, not the broad dopamine-fast theory of abstaining from many rewards. The construct is narrower than the name, but the cited benefit is real, fitting Moderate."
Dopamine fast,Take a planned break from compulsive high-reward behaviors and replace them with low-stimulation activities.,Moderate Evidence,Backup 2,"Olson et al., 2022, Int. Journal of Mental Health and Addiction",RCT plus pre-post study: a nudge-based intervention to cut smartphone use reduced problematic use and screen time and improved sleep vs a monitoring control.,"Reinforces that deliberately curbing a high-reward behavior reduces compulsive use, supporting the technique, though combined-strategy design keeps it Moderate.",https://doi.org/10.1007/s11469-022-00826-w,https://consensus.app/papers/details/3203e34f439f51d5a80e059c3521e624/?utm_source=claude_code,https://consensus.app/search/new?q=smartphone+abstinence+reducing+screen+time+digital+detox+wellbeing+randomized+controlled+trial&utm_source=claude_code&mode=quick,Partially agree,"This supports taking breaks from social media/smartphones, not the neuroscience or broad self-control claims attached to dopamine fasting.",Agree,"I agree this supports curbing smartphone use, not the neuroscience or broad self-control claims. The dopamine framing overreaches, but as corroborating backup the behavior-change evidence holds at Moderate."
Power posing,Stand or sit expansively for a minute or two before a challenging interaction.,Questionable,Primary,"Elkjær et al., 2020, Perspectives on Psychological Science","MA, 73 studies; effects driven by avoiding contractive postures (g=0.45), while the expansive ""power pose"" vs neutral ≈ g=0.06 (null).","The largest MA shows the specific popular claim (adopt an expansive pose) is essentially null; any effect comes from not slumping. That downgrades it to a weak/uncertain signal — Questionable, but not Unsupported, since a postural effect of some kind is real.",https://doi.org/10.1177/1745691620919358,https://consensus.app/papers/details/826755941280535a891a383d2082b4b5/?utm_source=claude_code,https://consensus.app/search/new?q=expansive+contractive+postures+affective+behavioral+outcomes+systematic+review+meta-analysis+power+posing&utm_source=claude_code&mode=quick,Mostly agree,"The direction is right, but because the technique is specifically “stand or sit expansively,” the near-null expansive-versus-neutral result means the exact technique is closer to unsupported or very weak. The defensible advice is better framed as “avoid contractive/slumped posture,” not “power pose.”",Agree,"ChatGPT is right that since the technique is specifically 'pose expansively,' the near-null expansive-vs-neutral result puts the exact claim near unsupported, and 'avoid slumping' is the defensible reframe. My reasoning already conceded the popular claim is essentially null."
Power posing,Stand or sit expansively for a minute or two before a challenging interaction.,Questionable,Backup 1,"Simmons & Simonsohn, 2017, Psychological Science",P-curve of the 33 studies cited as supportive; distribution indistinguishable from no effect + selective reporting.,"Shows the original ""it works"" literature has no evidential value once selective reporting is accounted for — direct grounds for demoting the claim to Questionable.",https://doi.org/10.1177/0956797616658563,https://consensus.app/papers/details/ebd67ed039ce5f28a8f5321262e210e2/?utm_source=claude_code,https://consensus.app/search/new?q=expansive+contractive+postures+affective+behavioral+outcomes+systematic+review+meta-analysis+power+posing&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Power posing,Stand or sit expansively for a minute or two before a challenging interaction.,Questionable,Backup 2,"Ranehill et al., 2015, Psychological Science","Large (N=200), experimenter-blind replication: reproduced felt power but no effect on hormones or any behavioral task.","The decisive high-powered replication: the subjective ""feel powerful"" effect survives but every consequential outcome fails — capturing the ""weak signal, nothing actionable"" character of the Questionable tier.",https://doi.org/10.1177/0956797614553946,https://consensus.app/papers/details/d6dba120c11e5172b75d8313bbb1aac7/?utm_source=claude_code,https://consensus.app/search/new?q=power+posing+expansive+postures+effects+on+feelings+hormones+behavior+meta-analysis+replication&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
EFT / tapping,"While naming a distressing issue, tap through the standard point sequence and re-rate emotional intensity.",Questionable,Primary,"Bakker, 2013, Clinical Psychologist","Critical status review of energy psychology: efficacy evidence is methodologically weak, with no effect beyond placebo/known therapy elements; dismantling studies disconfirmatory.","Concludes the acupoint-tapping component lacks a plausible basis and shows no benefit over nonspecific/placebo effects, supporting a Questionable rating.",https://doi.org/10.1111/cp.12020,https://consensus.app/papers/details/917806519464584ba4f8d283bc873208/?utm_source=claude_code,https://consensus.app/search/new?q=energy+psychology+Emotional+Freedom+Techniques+methodological+flaws+pseudoscience+critique+evidence&utm_source=claude_code&mode=quick,Mostly agree,"Questionable is a fair rating, but the critique relies on older skeptical reviews and does not fully engage with newer EFT/tapping meta-analyses, many of which are themselves debated for bias and controls. The conclusion is plausible, but the evidential picture is incomplete.",Partially agree,"I accept the picture is incomplete without newer EFT meta-analyses, but those analyses are themselves contested for bias and weak controls, and dismantling studies still show no acupoint-specific effect, so Questionable stands."
EFT / tapping,"While naming a distressing issue, tap through the standard point sequence and re-rate emotional intensity.",Questionable,Backup 1,"McCaslin, 2009, Psychotherapy","Review finds serious methodological flaws in EFT/energy-psychology efficacy claims; gains plausibly attributable to embedded cognitive-behavioral elements, not acupoint stimulation.","Independent critique attributes any EFT benefit to known CBT components rather than tapping, reinforcing that the acupoint element is likely inert.",https://doi.org/10.1037/a0016025,https://consensus.app/papers/details/5adfefe9e4ca5c95bc91ca48550c0374/?utm_source=claude_code,https://consensus.app/search/new?q=energy+psychology+Emotional+Freedom+Techniques+methodological+flaws+pseudoscience+critique+evidence&utm_source=claude_code&mode=quick,Mostly agree,"Good skeptical/theoretical backup, but it is not a current systematic review. It mainly supports the concern that tapping-specific mechanisms are unproven, not a full verdict on all EFT outcomes.",Partially agree,"True it's not a current systematic review, but as a backup its job is the theoretical point that tapping-specific mechanisms are unproven, which corroborates the Primary rather than weakening the row."
Vision board,Create a collage of goal-related images or words.,Questionable,Primary,"Kappes et al., 2012, European Journal of Social Psychology","Three studies of disadvantaged students: positive future fantasies predicted more absences and lower grades, even adjusting for competence and expectations.","Directly shows that indulging in positive outcome imagery (the core of vision boards) predicts worse achievement, not better, marking it Questionable.",https://doi.org/10.1002/ejsp.838,https://consensus.app/papers/details/fa0f94bfe56b5cd69048bce948927c3b/?utm_source=claude_code,https://consensus.app/search/new?q=positive+fantasy+visualization+mental+imagery+goal+attainment+reduces+effort+Oettingen&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Vision board,Create a collage of goal-related images or words.,Questionable,Backup 1,"Oettingen, 2012, European Review of Social Psychology","Review of fantasy-realization research: positive fantasies about a desired future reduce effort and success, counter to popular self-help claims.","Establishes that dwelling on positive imagery of attained goals dampens motivation, undercutting the premise of vision boards.",https://doi.org/10.1080/10463283.2011.643698,https://consensus.app/papers/details/a03bca555a205cada2099fcc585e1530/?utm_source=claude_code,https://consensus.app/search/new?q=positive+fantasy+visualization+mental+imagery+goal+attainment+reduces+effort+Oettingen&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Positive affirmations,"Repeat short positive statements about yourself (e.g., 'I am strong and capable.').",Questionable,Primary,"Wood et al., 2009, Psychological Science","Experiments show repeating 'I'm a lovable person' made low-self-esteem participants feel worse, while high-self-esteem gains were limited.","Demonstrates affirmations can backfire for the people most likely to use them, the core reason the technique is rated Questionable.",https://doi.org/10.1111/j.1467-9280.2009.02370.x,https://consensus.app/papers/details/13f10637fa255dee9cb67af1c7b65af8/?utm_source=claude_code,https://consensus.app/search/new?q=positive+self-statements+affirmations+backfire+low+self-esteem&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Positive affirmations,"Repeat short positive statements about yourself (e.g., 'I am strong and capable.').",Questionable,Backup 1,"Flynn et al., 2020, Journal of Contextual Behavioral Science","Two replications (N~225, N~237) failed to reproduce Wood 2009: no condition differences on mood, self-esteem, or goal outcomes, and no self-esteem moderation.","Failed replication shows affirmation effects (positive or harmful) are unreliable, reinforcing weak/mixed evidence for the technique.",https://doi.org/10.1016/j.jcbs.2020.02.006,https://consensus.app/papers/details/fe4fc9efdd48595ba581dabb07219621/?utm_source=claude_code,https://consensus.app/search/new?q=positive+self-statements+affirmations+backfire+low+self-esteem&utm_source=claude_code&mode=quick,Mostly agree,"This failed replication is useful, but it weakens both benefit and harm claims. It supports “unreliable/mixed,” not necessarily that affirmations are broadly counterproductive.",Agree,"I agree the failed replication best supports 'unreliable/mixed' and weakens both benefit and harm claims, not a broadly-counterproductive verdict. That precise framing fits the Questionable rating."
Lucky Girl Syndrome,Repeat that things tend to work out for you and look for opportunities that match the expectation.,Questionable,Primary,"Dixon et al., 2023, Personality and Social Psychology Bulletin","Three studies (N=1,023) developing a Manifestation Scale; believers were more drawn to risky investments and more likely to have experienced bankruptcy.","Manifestation beliefs lacked objective success benefits and correlated with financial risk-taking, supporting the Questionable rating.",https://doi.org/10.1177/01461672231181162,https://consensus.app/papers/details/00f6684111d0597ab2afb56018e86836/?utm_source=claude_code,https://consensus.app/search/new?q=manifestation+belief+law+of+attraction+wellbeing+financial+risk+vulnerability&utm_source=claude_code&mode=quick,Mostly agree,"The paper studies manifestation beliefs, not Lucky Girl Syndrome specifically. It is appropriate adjacent evidence, but the specific TikTok-style practice is not directly tested.",Agree,"I agree this is adjacent manifestation-belief evidence, not a direct test of the TikTok practice. My reasoning already treated it that way, and the absence of objective benefit plus financial risk supports Questionable."
Scripting manifestation,Write a future scene as if the desired outcome has already happened.,Questionable,Primary,"Dixon et al., 2023, Personality and Social Psychology Bulletin","Three studies (N=1,023): manifestation believers felt more successful but showed no objective gains and were more prone to risky investments and bankruptcy.","Scripting is a manifestation practice; the evidence shows such beliefs bring perceived, not real, success and elevate financial risk, marking it Questionable.",https://doi.org/10.1177/01461672231181162,https://consensus.app/papers/details/00f6684111d0597ab2afb56018e86836/?utm_source=claude_code,https://consensus.app/search/new?q=manifestation+belief+law+of+attraction+wellbeing+financial+risk+vulnerability&utm_source=claude_code&mode=quick,Mostly agree,"The paper studies manifestation belief, not scripting as a standalone writing ritual. It supports skepticism toward the belief system more than the specific script-writing method.",Agree,"ChatGPT is right this studies manifestation belief, not the script-writing ritual specifically. Since scripting is a manifestation practice and shows only perceived gains, the adjacent evidence still supports Questionable."
Binaural beats,Listen to two slightly different tones through headphones to try to induce a target mental state.,Questionable,Primary,"Leistiko et al., 2023, Current Psychology","Controlled study (N=58) of 40-Hz gamma binaural beats vs control tone found no effect on attention (reaction time, error rate) or self-rated anxiety.","Well-controlled null result on attention and anxiety shows the claimed cognitive/mood benefits fail to materialize, supporting a Questionable rating.",https://doi.org/10.1007/s12144-023-04681-3,https://consensus.app/papers/details/d364e5b0cb265dcb8514c72a12356613/?utm_source=claude_code,https://consensus.app/search/new?q=binaural+beats+cognition+attention+anxiety+null+no+effect&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Binaural beats,Listen to two slightly different tones through headphones to try to induce a target mental state.,Questionable,Backup 1,"Basu et al., 2022, Psychological Research","Meta-analysis (15 studies, 31 effects) found only a near-moderate effect (g=0.40) for memory/attention, with the systematic review reporting conflicting, mixed results.","Effects are modest and inconsistent across studies, so evidence for binaural beats on cognition remains mixed rather than robust.",https://doi.org/10.1007/s00426-022-01706-7,https://consensus.app/papers/details/26dc16d3b1ae577f8d3b547537426bc5/?utm_source=claude_code,https://consensus.app/search/new?q=binaural+beats+cognition+attention+anxiety+null+no+effect&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Brain training games,"Play cognitive games daily, but expect improvement mainly on trained or nearby tasks rather than broad intelligence.",Questionable,Primary,"Sala et al., 2019, Collabra: Psychology","Second-order meta-analysis (k=233) found far-transfer effects small or null; after controlling for placebo and publication bias, overall effect equaled zero.","Shows brain-training benefits do not generalize beyond trained tasks, the exact 'far transfer fails' basis for the Questionable rating.",https://doi.org/10.1525/collabra.203,https://consensus.app/papers/details/dc29e444b28d5d67a89a1a8d0ebdcc9a/?utm_source=claude_code,https://consensus.app/search/new?q=brain+training+cognitive+games+far+transfer+fails+no+broad+cognitive+improvement+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Brain training games,"Play cognitive games daily, but expect improvement mainly on trained or nearby tasks rather than broad intelligence.",Questionable,Backup 1,"Sala et al., 2017, Psychological Bulletin",Three meta-analyses (k=310-359) found small or null effects and no causal evidence that video-game/cognitive training enhances broad cognitive ability.,"Confirms no far transfer to general cognition from game-based training, reinforcing that broad-intelligence claims are unsupported.",https://doi.org/10.1037/bul0000139,https://consensus.app/papers/details/2404d7b5b36e5144aff45fb7bc555417/?utm_source=claude_code,https://consensus.app/search/new?q=brain+training+cognitive+games+far+transfer+fails+no+broad+cognitive+improvement+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
